S1 spectrum
266.5 1.42224e-05
267.5 1.41381e-05
268.5 1.40934e-05
269.5 1.42162e-05
270.5 1.42439e-05
271.5 1.41367e-05
272.5 1.40152e-05
273.5 1.41391e-05
274.5 1.4191e-05
275.5 1.41315e-05
276.5 1.42791e-05
277.5 1.40729e-05
278.5 1.41115e-05
279.5 1.415e-05
280.5 1.40652e-05
281.5 1.42639e-05
282.5 1.41372e-05
283.5 1.41848e-05
284.5 1.41076e-05
285.5 1.40772e-05
286.5 1.402e-05
287.5 1.40005e-05
288.5 1.40557e-05
289.5 1.40614e-05
290.5 1.41905e-05
291.5 1.39595e-05
292.5 1.40657e-05
293.5 1.40005e-05
294.5 1.41095e-05
295.5 1.39514e-05
296.5 1.39771e-05
297.5 1.396e-05
298.5 1.40133e-05
299.5 1.39209e-05
300.5 1.39614e-05
301.5 1.39428e-05
302.5 1.38514e-05
303.5 1.39419e-05
304.5 1.3758e-05
305.5 1.36942e-05
306.5 1.36718e-05
307.5 1.37337e-05
308.5 1.35399e-05
309.5 1.37166e-05
310.5 1.36018e-05
311.5 1.3558e-05
312.5 1.36489e-05
313.5 1.35565e-05
314.5 1.34003e-05
315.5 1.35427e-05
316.5 1.34055e-05
317.5 1.33488e-05
318.5 1.33164e-05
319.5 1.34112e-05
320.5 1.3296e-05
321.5 1.33174e-05
322.5 1.30954e-05
323.5 1.31874e-05
324.5 1.31831e-05
325.5 1.30869e-05
326.5 1.29868e-05
327.5 1.3085e-05
328.5 1.28892e-05
329.5 1.29349e-05
330.5 1.2923e-05
331.5 1.28792e-05
332.5 1.2622e-05
333.5 1.27039e-05
334.5 1.26682e-05
335.5 1.26729e-05
336.5 1.26086e-05
337.5 1.25457e-05
338.5 1.248e-05
339.5 1.23462e-05
340.5 1.248e-05
341.5 1.2298e-05
342.5 1.2188e-05
343.5 1.21118e-05
344.5 1.21785e-05
345.5 1.21923e-05
346.5 1.20842e-05
347.5 1.18684e-05
348.5 1.19765e-05
349.5 1.17836e-05
350.5 1.1926e-05
351.5 1.18508e-05
352.5 1.16478e-05
353.5 1.1615e-05
354.5 1.1614e-05
355.5 1.1545e-05
356.5 1.14759e-05
357.5 1.13863e-05
358.5 1.12249e-05
359.5 1.10824e-05
360.5 1.11491e-05
361.5 1.1141e-05
362.5 1.10496e-05
363.5 1.09224e-05
364.5 1.07214e-05
365.5 1.08281e-05
366.5 1.08724e-05
367.5 1.05023e-05
368.5 1.05551e-05
369.5 1.05242e-05
370.5 1.03217e-05
371.5 1.03751e-05
372.5 1.03527e-05
373.5 1.01722e-05
374.5 1.01893e-05
375.5 1.0134e-05
376.5 9.99782e-06
377.5 1.00921e-05
378.5 9.79442e-06
379.5 9.7144e-06
380.5 9.70249e-06
381.5 9.67867e-06
382.5 9.42145e-06
383.5 9.43145e-06
384.5 9.5029e-06
385.5 9.34905e-06
386.5 9.18947e-06
387.5 9.13422e-06
388.5 9.06086e-06
389.5 9.02133e-06
390.5 8.99989e-06
391.5 8.96988e-06
392.5 8.67646e-06
393.5 8.77268e-06
394.5 8.51117e-06
395.5 8.44258e-06
396.5 8.42257e-06
397.5 8.39304e-06
398.5 8.32397e-06
399.5 8.102e-06
400.5 8.00149e-06
401.5 7.99101e-06
402.5 7.94195e-06
403.5 7.89336e-06
404.5 7.62566e-06
405.5 7.62662e-06
406.5 7.53849e-06
407.5 7.58994e-06
408.5 7.44704e-06
409.5 7.44084e-06
410.5 7.3551e-06
411.5 7.26746e-06
412.5 7.05549e-06
413.5 7.06025e-06
414.5 6.95593e-06
415.5 6.89258e-06
416.5 6.84781e-06
417.5 6.62059e-06
418.5 6.65918e-06
419.5 6.61202e-06
420.5 6.55438e-06
421.5 6.43816e-06
422.5 6.28621e-06
423.5 6.24524e-06
424.5 6.21047e-06
425.5 6.04375e-06
426.5 6.00898e-06
427.5 5.98183e-06
428.5 5.77748e-06
429.5 5.72318e-06
430.5 5.74985e-06
431.5 5.58647e-06
432.5 5.51597e-06
433.5 5.45738e-06
434.5 5.44357e-06
435.5 5.36259e-06
436.5 5.31924e-06
437.5 5.21493e-06
438.5 5.11204e-06
439.5 5.18254e-06
440.5 5.02153e-06
441.5 4.82767e-06
442.5 4.90531e-06
443.5 4.74812e-06
444.5 4.72716e-06
445.5 4.67619e-06
446.5 4.53996e-06
447.5 4.49471e-06
448.5 4.42992e-06
449.5 4.37943e-06
450.5 4.36324e-06
451.5 4.23463e-06
452.5 4.1084e-06
453.5 4.08125e-06
454.5 4.06648e-06
455.5 4.00503e-06
456.5 3.93692e-06
457.5 3.84689e-06
458.5 3.85118e-06
459.5 3.744e-06
460.5 3.66874e-06
461.5 3.67255e-06
462.5 3.58109e-06
463.5 3.47725e-06
464.5 3.42057e-06
465.5 3.40247e-06
466.5 3.36817e-06
467.5 3.26433e-06
468.5 3.16001e-06
469.5 3.19383e-06
470.5 3.09809e-06
471.5 3.06094e-06
472.5 2.9771e-06
473.5 2.87231e-06
474.5 2.89612e-06
475.5 2.82801e-06
476.5 2.75608e-06
477.5 2.70559e-06
478.5 2.76561e-06
479.5 2.58317e-06
480.5 2.59937e-06
481.5 2.5122e-06
482.5 2.45361e-06
483.5 2.50029e-06
484.5 2.34643e-06
485.5 2.39216e-06
486.5 2.29737e-06
487.5 2.19639e-06
488.5 2.21401e-06
489.5 2.18305e-06
490.5 2.07778e-06
491.5 2.11636e-06
492.5 2.01395e-06
493.5 2.0311e-06
494.5 1.92059e-06
495.5 1.97394e-06
496.5 1.8639e-06
497.5 1.83723e-06
498.5 1.83818e-06
499.5 1.81341e-06
